forge build --out abi --names --sizes
| Contract                    | Size (B) | Margin (B) |
|-----------------------------|----------|------------|
| Address                     |       32 |     24,544 |
| AddressCast                 |       32 |     24,544 |
| BitMaps                     |       32 |     24,544 |
| BlockedMessageLib           |      569 |     24,007 |
| BytesLib                    |       32 |     24,544 |
| CalldataBytesLib            |       32 |     24,544 |
| Common                      |       32 |     24,544 |
| Configuration               |    4,510 |     20,066 |
| Constants                   |      459 |     24,117 |
| DVNFeeLibMock               |    9,550 |     15,026 |
| DVNMock                     |   17,224 |      7,352 |
| DVNOptions                  |       32 |     24,544 |
| DataTypes                   |       32 |     24,544 |
| DoubleEndedQueue            |       32 |     24,544 |
| ECDSA                       |       32 |     24,544 |
| EIP712                      |    2,551 |     22,025 |
| ERC1967Proxy                |      129 |     24,447 |
| ERC1967Utils                |       32 |     24,544 |
| EndpointV2AltMock           |   23,691 |        885 |
| EndpointV2Mock              |   23,301 |      1,275 |
| EnumerableSet               |       32 |     24,544 |
| Errors                      |       32 |     24,544 |
| ExecutorFeeLibMock          |    7,256 |     17,320 |
| ExecutorMock                |   13,612 |     10,964 |
| ExecutorOptions             |       32 |     24,544 |
| GUID                        |       32 |     24,544 |
| Governance                  |    3,337 |     21,239 |
| LayerZeroPortal             |    9,608 |     14,968 |
| ManagerApiLogic             |   12,759 |     11,817 |
| MessageQueueLogic           |    6,421 |     18,155 |
| MockCrossChainPortal        |      926 |     23,650 |
| MockSnarkVerifier           |       33 |     24,543 |
| MockVault                   |      365 |     24,211 |
| MultiChainLogic             |    5,401 |     19,175 |
| OptionsBuilder              |       32 |     24,544 |
| OptionsHelper               |    1,956 |     22,620 |
| PacketV1Codec               |       32 |     24,544 |
| PriceFeedMock               |    6,254 |     18,322 |
| ProxyAdmin                  |    1,322 |     23,254 |
| ReadCmdCodecV1              |       32 |     24,544 |
| ReceiveUln302Mock           |   10,827 |     13,749 |
| SafeCall                    |       32 |     24,544 |
| SafeCast                    |       32 |     24,544 |
| SafeERC20                   |       32 |     24,544 |
| SafeTransferLib             |       32 |     24,544 |
| Storage                     |    2,278 |     22,298 |
| StorageSlot                 |       32 |     24,544 |
| SupportedCmdTypesLib        |       32 |     24,544 |
| Token                       |    2,677 |     21,899 |
| TokenManager                |    6,128 |     18,448 |
| TokenManagerLogic           |    6,923 |     17,653 |
| Transfer                    |       32 |     24,544 |
| TransparentUpgradeableProxy |    1,488 |     23,088 |
| UlnOptions                  |       32 |     24,544 |
| UlnOptionsMock              |    2,683 |     21,893 |
| UserApiLogic                |    5,382 |     19,194 |
| Vault                       |   16,883 |      7,693 |
| VaultProxy                  |    1,488 |     23,088 |
| VaultProxyAdmin             |    1,322 |     23,254 |
| VerifierManager             |    4,426 |     20,150 |
| VesselOwner                 |    4,736 |     19,840 |
| WETH                        |    3,936 |     20,640 |
